(Aerys,0.4946195281491891)
(Daenerys,0.4946195281491891)
(Eddard,0.4946195281491891)
(Shireen,0.4946195281491891)
(Amory,0.4946195281491891)
(Walton,0.4946195281491891)
(Jon Arryn,0.4946195281491891)
(Rickard,0.5151724480260731)
(Ramsay,0.5151724480260731)
(Orell,0.5213810735527539)
(Worm,0.5246499995011041)
(Missandei,0.5246499995011041)
(Viserys,0.5246499995011041)
(Aegon,0.5246499995011041)
(Kraznys,0.5246499995011041)
(Rakharo,0.5246499995011041)
(Catelyn,0.5296550780597566)
(Jeyne,0.541655201929061)
(Doran,0.5459614972312772)
(Luwin,0.553963839035398)
(Robb,0.5561378319627446)
(Qyburn,0.5643153155724903)
(Myrcella,0.5664158648401466)
(Arya,0.5715180896932082)
(Roose,0.5720058853633134)
(Hodor,0.574516758912282)
(Sansa,0.5766907518396285)
(Bronn,0.5903424293146771)
(Robert Arryn,0.6073021069990094)
(Shae,0.6116525210712446)
(Hoster,0.6124747691454298)
(Bran,0.6283515270304485)
(Kevan,0.6495948785076753)
(Jon,0.6612130840136696)
(Rickon,0.6612130840136696)
(Melisandre,0.665300987548998)
(Belwas,0.6698981222145485)
(Daario,0.6698981222145485)
(Jorah,0.6835205774750323)
(Beric,0.6877113848716057)
(Styr,0.702560608922615)
(Ygritte,0.702560608922615)
(Tywin,0.7116515848510286)
(Joffrey,0.7127469873090347)
(Anguy,0.7197823671650297)
(Cersei,0.7310081388322579)
(Val,0.7343976535080557)
(Rhaegar,0.7476262492890734)
(Lysa,0.7526256732721498)
(Alliser,0.7655608287993231)
(Lancel,0.7706382099273753)
(Illyrio,0.7793262300903722)
(Jojen,0.7981141276047391)
(Chataya,0.8058682540179503)
(Eddison,0.8106199093530979)
(Balon,0.811967163113147)
(Gendry,0.8474879905426262)
(Podrick,0.8499586013634174)
(Janos,0.8619618784351859)
(Tommen,0.887351770730413)
(Sandor,0.9015305661224273)
(Aemon,0.9096115036033541)
(Gilly,0.9917994447229588)
(Elia,0.9929143614838788)
(Rattleshirt,1.001043066790792)
(Meryn,1.0122356518219375)
(Stannis,1.0160883094122017)
(Gregor,1.0235621574821931)
(Nan,1.0247944342787287)
(Renly,1.025197806461746)
(Bowen,1.0280381191961019)
(Cressen,1.0648207124809392)
(Salladhor,1.0648207124809392)
(Ellaria,1.0655825815532394)
(Mace,1.09741962613868)
(Petyr,1.1225413465559662)
(Marillion,1.1235088979481676)
(Edmure,1.1319545431259772)
(Brienne,1.1632470157511456)
(Theon,1.1632707577907084)
(Meera,1.1640741772403183)
(Oberyn,1.2227169524498915)
(Jaime,1.2301027523578025)
(Irri,1.2553092010182259)
(Brynden,1.2822248225225552)
(Dalla,1.326587012556594)
(Davos,1.3416498454864707)
(Walder,1.358910183916081)
(Barristan,1.427481705607317)
(Robert,1.437259753726919)
(Varys,1.448577624295805)
(Tyrion,1.4498845383974295)
(Olenna,1.6449940625922148)
(Lothar,1.6856149375372083)
(Mance,1.7055263690790914)
(Ilyn,1.8027547171126992)
(Thoros,1.8121632985582148)
(Craster,1.8346173708896054)
(Pycelle,1.8533872084950727)
(Grenn,1.886103390404456)
(Drogo,2.02140944690129)
(Karl,2.054044293405354)
(Qhorin,2.1411685093633093)
(Roslin,2.5794398714826303)
(Loras,2.656720154622818)
(Samwell,2.7223947711617287)
(Margaery,3.5138142050515735)
